,Product Name,Sale & Actual Price,Raview & Rattings,Offer,Camera,Memory,Battery,Display,Ratting Number
311,"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹13,999₹17,49920% off","10,062 Ratings & 580 Reviews",20% off,50MP + 5MP + 2MP | 13MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Battery,16.91 cm (6.657 inch) Full HD+ Display,4.2
312,"MOTOROLA Edge 60 Pro (Pantone Shadow, 512 GB)","₹37,999₹42,99911% off","2,292 Ratings & 167 Reviews",11% off,50MP + 50MP + 10MP | 50MP Front Camera,16 GB RAM | 512 GB ROM,6000 mAh Battery,17.02 cm (6.7 inch) Display,4.4
313,"LAVA A5 2023 Keypad Mobile, LED Torch, FM Radio,Call Recording, Expandable Upto 32 GB","₹985₹1,64940% off",562 Ratings & 31 Reviews,40% off,0.3MP Rear Camera,32 MB RAM | 24 MB ROM | Expandable Upto 32 GB,1000 mAh Battery,6.1 cm (2.4 inch) QVGA Display,3.9
314,"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
315,itel it5027 Slim Keypad Mobile | 2.4 inch Display| Type C Charging,"₹1,299₹1,64921% off","1,333 Ratings & 88 Reviews",21% off,0.3MP Rear Camera,4 MB RAM | 4 MB ROM,1200 mAh Battery,6.1 cm (2.4 inch) Display,4.1
316,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
317,Jio F320B,"₹2,472₹2,99917% off","5,825 Ratings & 337 Reviews",17% off,0.5MP Rear Camera,512 MB RAM | 4 GB ROM,2000 mAh Battery,6.1 cm (2.4 inch) Display,3.7
318,"MOTOROLA Edge 60 Pro (Pantone Shadow, 256 GB)","₹29,999₹36,99918% off","43,551 Ratings & 3,246 Reviews",18% off,50MP + 50MP + 10MP | 50MP Front Camera,8 GB RAM | 256 GB ROM,6000 mAh Battery,17.02 cm (6.7 inch) Display,4.3
319,"Apple iPhone 17 Pro (Silver, 256 GB)","₹1,34,900",674 Ratings & 49 Reviews,No Offer,48MP + 48MP + 48MP | 18MP Front Camera,256 GB ROM,"A19 Chip, 6 Core Processor Processor",16.0 cm (6.3 inch) Super Retina XDR Display,4.7
320,"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹18,999₹33,99944% off","67,499 Ratings & 3,897 Reviews",44% off,50MP + 8MP + 5MP | 13MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,16.76 cm (6.6 inch) Full HD+ Display,4.4
